4439	11001010	202	00000000
4450	01000111	71	00000001
4470	10110110	182	00000010
4472	10001111	143	00000011
4474	10101100	172	00000100
4481	00010111	23	00000101
4494	10010101	149	00000110
4496	10110010	178	00000111
4500	00100111	39	00001000
4508	10111001	185	00001001
4548	00011110	30	00001010
4559	11010010	210	00001011
4587	11011111	223	00001100
4610	10101110	174	00001101
4633	11001000	200	00001110
4635	11001111	207	00001111
4638	10000111	135	00010000
4639	10011101	157	00010001
4650	11110110	246	00010010
4661	10011100	156	00010011
4664	10110001	177	00010100
4685	01010111	87	00010101
9365	11000000	192	0001011
4696	11110100	244	00011000
4699	01101110	110	00011001
4700	01011111	95	00011010
4720	11110111	247	00011011
4746	00111001	57	00011100
4748	11011010	218	00011101
4757	01101100	108	00011110
4758	10110111	183	00011111
4768	11001001	201	00100000
4782	10110000	176	00100001
4797	10010110	150	00100010
4804	11101000	232	00100011
4804	01110001	113	00100100
4813	01111101	125	00100101
4814	00100011	35	00100110
4828	01011110	94	00100111
4857	00010101	21	00101000
4871	01001011	75	00101001
4898	10101111	175	00101010
4899	10000101	133	00101011
4902	00101110	46	00101100
4908	11101110	238	00101101
4929	11000101	197	00101110
4938	10111100	188	00101111
4940	01110100	116	00110000
4960	11000100	196	00110001
4978	10010001	145	00110010
4998	10011011	155	00110011
5000	10010011	147	00110100
5008	11011001	217	00110101
5010	10111111	191	00110110
5015	11111010	250	00110111
5024	01011100	92	00111000
5025	01110111	119	00111001
5027	10101000	168	00111010
5029	00101101	45	00111011
5033	10110100	180	00111100
5035	11111110	254	00111101
5046	01001111	79	00111110
5051	11010001	209	00111111
5059	00010011	19	01000000
5071	11000010	194	01000001
10149	00000001	1	0100001
5075	01111010	122	01000100
5080	11101100	236	01000101
10161	00000100	4	0100011
5090	00010010	18	01001000
5119	10001011	139	01001001
5120	11100110	230	01001010
5124	11101011	235	01001011
5146	11000011	195	01001100
5155	11010111	215	01001101
5170	10010100	148	01001110
5170	01110000	112	01001111
5171	01010110	86	01010000
5171	10100010	162	01010001
5183	10111011	187	01010010
5205	11101111	239	01010011
5213	01111111	127	01010100
5235	01100100	100	01010101
5258	10001101	141	01010110
5279	10001001	137	01010111
5281	00100001	33	01011000
5283	00101010	42	01011001
5312	10100100	164	01011010
5317	01000100	68	01011011
5327	10000100	132	01011100
5349	10101011	171	01011101
5350	11010101	213	01011110
5359	10100011	163	01011111
5359	01011011	91	01100000
5372	11101010	234	01100001
5373	00110110	54	01100010
5396	11010011	211	01100011
5396	10001010	138	01100100
5409	11101001	233	01100101
10824	00110000	48	0110011
5415	11110101	245	01101000
5434	01000101	69	01101001
5454	10010000	144	01101010
5454	11011101	221	01101011
5458	11101101	237	01101100
5463	11010110	214	01101101
5464	01101011	107	01101110
5465	01000011	67	01101111
5465	01011000	88	01110000
5481	01010001	81	01110001
5483	11110011	243	01110010
5492	10101010	170	01110011
5502	00000111	7	01110100
5513	10111101	189	01110101
5528	00010001	17	01110110
5529	01001110	78	01110111
5530	00101001	41	01111000
5535	01000010	66	01111001
5544	01001000	72	01111010
5552	01011101	93	01111011
5555	01110101	117	01111100
5556	10100001	161	01111101
5561	11001110	206	01111110
5564	01011001	89	01111111
5568	10001000	136	10000000
5576	00001001	9	10000001
5590	01101101	109	10000010
5595	01101111	111	10000011
5596	10100101	165	10000100
5600	00011100	28	10000101
5604	01010100	84	10000110
5614	01001010	74	10000111
5637	10000010	130	10001000
5643	01100101	101	10001001
5661	00111010	58	10001010
5664	11000110	198	10001011
5673	00100010	34	10001100
5693	10111010	186	10001101
5699	11111101	253	10001110
5732	01001001	73	10001111
5745	00001111	15	10010000
5745	00000101	5	10010001
5759	01100111	103	10010010
5770	00010110	22	10010011
5809	00101100	44	10010100
5816	01100010	98	10010101
5826	00011010	26	10010110
5826	01000110	70	10010111
5828	01100011	99	10011000
5830	01101000	104	10011001
5845	00110101	53	10011010
5862	00100100	36	10011011
5871	01010101	85	10011100
5925	10011010	154	10011101
5935	10100000	160	10011110
5955	00111100	60	10011111
5959	01010011	83	10100000
5973	11100111	231	10100001
5973	10100111	167	10100010
2951	11111000	248	101000110
3039	11111100	252	101000111
6041	00011001	25	10100100
6042	10000110	134	10100101
6070	11010100	212	10100110
6073	00110011	51	10100111
6080	10011001	153	10101000
6118	01100001	97	10101001
6134	01100110	102	10101010
6145	01111001	121	10101011
6152	11010000	208	10101100
6177	01001101	77	10101101
6179	01010010	82	10101110
6204	00110010	50	10101111
6279	10110011	179	10110000
6280	00001101	13	10110001
12581	00000000	0	1011001
6361	01011010	90	10110100
6455	10100110	166	10110101
6457	00100110	38	10110110
6490	00010100	20	10110111
6500	11001101	205	10111000
6566	11000001	193	10111001
3242	11110010	242	101110100
3362	11111001	249	101110101
6624	01010000	80	10111011
6668	10101101	173	10111100
6674	10001100	140	10111101
6674	10110101	181	10111110
6732	01101001	105	10111111
107050	11111111	255	1100
6751	00000010	2	11010000
6753	01101010	106	11010001
6759	01000000	64	11010010
6768	10000000	128	11010011
6784	00101000	40	11010100
6846	00110100	52	11010101
6860	11100000	224	11010110
6884	11001100	204	11010111
6912	10000001	129	11011000
6931	00100000	32	11011001
6933	00001000	8	11011010
6945	00000110	6	11011011
6952	01110011	115	11011100
3470	01111100	124	110111010
3498	01111110	126	110111011
6969	00010000	16	11011110
6985	10000011	131	11011111
7015	01001100	76	11100000
7073	10101001	169	11100001
7078	01100000	96	11100010
3503	11110000	240	111000110
3625	00011111	31	111000111
7194	00001010	10	11100100
7234	01000001	65	11100101
7294	00110001	49	11100110
7410	10011000	152	11100111
3835	11100101	229	111010000
3835	00111011	59	111010001
3872	10111110	190	111010010
3878	10111000	184	111010011
3927	00111111	63	111010100
3959	11100001	225	111010101
3960	11011100	220	111010110
4072	11110001	241	111010111
8167	00000011	3	11101100
8174	00001011	11	11101101
8183	00011000	24	11101110
4089	00101011	43	111011110
4097	00101111	47	111011111
8241	00001100	12	11110000
4104	00111101	61	111100010
4139	10011110	158	111100011
4145	00110111	55	111100100
4158	11100100	228	111100101
4190	00111110	62	111100110
4191	11100010	226	111100111
4232	10011111	159	111101000
4234	11011000	216	111101001
